intercept,sigma2,parameter
0.5287081011847453,0.023150007444360993,mortality_rate
0.5150961015185062,0.018746057207216546,mortality_rate
0.5469231587650812,0.015040147594150581,mortality_rate
0.3332651396618246,0.029529742962114185,mortality_rate
0.4930397266671046,0.01886912452092902,mortality_rate
0.49213323924381785,0.041207603256456615,mortality_rate
0.4657942278237816,0.008164807875236562,mortality_rate
0.5181722354250541,0.02659472123053923,mortality_rate
0.5372188238842622,0.028991314919125714,mortality_rate
0.519571384995907,0.019038392915045988,mortality_rate
0.4669828123143675,0.03446490976533308,mortality_rate
0.438096987999525,0.07600835728642097,mortality_rate
0.553606479469865,0.018489841082230635,mortality_rate
0.47089783522649586,0.026800949166593317,mortality_rate
0.3931349184330216,0.036949456084649564,mortality_rate
0.512876268680268,0.017305494397159105,mortality_rate
0.4806496328790817,0.020715898449247906,mortality_rate
0.4151758725174238,0.0286911696683647,mortality_rate
0.5573405403991968,0.06517449308812244,mortality_rate
0.47571551757811487,0.03296862813168584,mortality_rate
0.4390342255669907,0.033024144331732105,mortality_rate
0.4645600495995841,0.02687422120993859,mortality_rate
0.4344585002145696,0.08851743408660875,mortality_rate
0.40534442803340826,0.016417660295687916,mortality_rate
0.6150369083598972,0.04054813749390883,mortality_rate
0.485678595668993,0.030194004851317156,mortality_rate
0.5858010369569318,0.0342443790024674,mortality_rate
